linha_excel,erro,municipio,resourceID,DOMÍNIO
57,Município não encontrado,litoral norte,56.0,
57,Nenhum município correspondeu,,,Litoral Norte
60,Município não encontrado,litoral norte,59.0,
60,Nenhum município correspondeu,,,Litoral Norte 
64,Município não encontrado,vale do paraiba,63.0,
64,Nenhum município correspondeu,,,Vale do Paraíba
67,Município não encontrado,litoral norte,66.0,
67,Nenhum município correspondeu,,,Litoral Norte 
71,Município não encontrado,vale do ribeira,70.0,
71,Município não encontrado,vale do paraiba,70.0,
71,Município não encontrado,litoral norte,70.0,
71,Nenhum município correspondeu,,,Vale do Ribeira//Vale do Paraíba//Litoral Norte 
