linha Excel,resourceID,speciesID,erro
2,,,ID ausente ou inválido
3,,,ID ausente ou inválido
4,,,ID ausente ou inválido
5,,,ID ausente ou inválido
6,,,ID ausente ou inválido
7,,,ID ausente ou inválido
8,,,ID ausente ou inválido
9,,,ID ausente ou inválido
10,,,ID ausente ou inválido
11,,,ID ausente ou inválido
12,,,ID ausente ou inválido
13,,,ID ausente ou inválido
14,,,ID ausente ou inválido
15,,,ID ausente ou inválido
16,,,ID ausente ou inválido
17,,,ID ausente ou inválido
18,,,ID ausente ou inválido
19,,,ID ausente ou inválido
20,,,ID ausente ou inválido
21,,,ID ausente ou inválido
22,,,ID ausente ou inválido
23,,,ID ausente ou inválido
24,,,ID ausente ou inválido
25,,,ID ausente ou inválido
26,,,ID ausente ou inválido
27,,,ID ausente ou inválido
28,,,ID ausente ou inválido
29,,,ID ausente ou inválido
30,,,ID ausente ou inválido
31,,,ID ausente ou inválido
32,,,ID ausente ou inválido
33,,,ID ausente ou inválido
34,,,ID ausente ou inválido
35,,,ID ausente ou inválido
36,,,ID ausente ou inválido
37,,,ID ausente ou inválido
38,,,ID ausente ou inválido
39,,,ID ausente ou inválido
40,,,ID ausente ou inválido
41,,,ID ausente ou inválido
42,,,ID ausente ou inválido
43,,,ID ausente ou inválido
44,,,ID ausente ou inválido
45,,,ID ausente ou inválido
46,,,ID ausente ou inválido
47,,,ID ausente ou inválido
48,,,ID ausente ou inválido
49,,,ID ausente ou inválido
50,,,ID ausente ou inválido
51,,,ID ausente ou inválido
52,,,ID ausente ou inválido
53,,,ID ausente ou inválido
54,,,ID ausente ou inválido
55,,,ID ausente ou inválido
56,,,ID ausente ou inválido
57,,,ID ausente ou inválido
58,,,ID ausente ou inválido
59,,,ID ausente ou inválido
60,,,ID ausente ou inválido
61,,,ID ausente ou inválido
62,,,ID ausente ou inválido
63,,,ID ausente ou inválido
64,,,ID ausente ou inválido
